gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1450648322																										25846556										CC0_1_0			2017-02-02T21:11Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25846556				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				3909056d-3928-4c91-9ca7-21c3f1621457	MAJCTC00628		M. Andrew Johnston					ADULT						B1-D1																	2016-06-06T02:00Z		158		2016	6	6	6.VI.2016															US	Nevada	Churchill		Sand Mountain Dunes								39.2903	-118.4153									Travis Hitchner			Label																								M. Andrew Johnston	2017-01-01T01:00Z												Eleodes Eschscholtz, 1829								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes				GENUS							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z							TAXON_MATCH_HIGHERRANK;IDENTIFIED_DATE_UNLIKELY		true	false	4724278	1	54	216	1470	7857	4724278				Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648321																										25846555										CC0_1_0			2017-02-02T21:08Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25846555				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				6c32e37e-d06e-4118-86ae-dfb7e0968b1d	MAJCTC00627		M. Andrew Johnston					ADULT						B1-C10																	2016-06-07T02:00Z		159		2016	6	7	7.VI.2016															US	Nevada	Mineral		Teel's Marsh, Dunes		1500m						38.211	-118.307									Travis Hitchner			Label																								M. Andrew Johnston	2017-01-01T01:00Z												Eleodes Eschscholtz, 1829								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes				GENUS							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z	1500.0						TAXON_MATCH_HIGHERRANK;IDENTIFIED_DATE_UNLIKELY		true	false	4724278	1	54	216	1470	7857	4724278				Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648320																										25835416										CC0_1_0			2017-01-20T19:28Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25835416				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				4121c499-4aac-4c87-8277-22491a8a521f	MAJCTC00507		M. Andrew Johnston; F. W. Skillman					ADULT						S1-A8																	2016-06-26T02:00Z		178		2016	6	26	26.VI.2016															US	New Mexico	Rio Arriba		United States Route 285, 5 Miles South of the State Line								36.937	-105.99									Travis Hitchner			Label																								M. Andrew Johnston	2017-01-01T01:00Z												Eleodes extricatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		extricatus		SPECIES							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z							IDENTIFIED_DATE_UNLIKELY		true	false	7690407	1	54	216	1470	7857	4724278		7690407	Eleodes extricatus	Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648319																										23781134										CC0_1_0			2016-11-29T13:19Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=23781134				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				e5e9d2ed-6f56-42e8-984a-7d43a3893b59	MAJC0003079		M.C. Lane					ADULT																							1934-06-06T01:00Z		157		1934	6	6	June 6 1934															US	Idaho	Twin Falls		Kimberly								42.533802	-114.364756	1399.0								Collin McMartin			GeoLocate																								M. Andrew Johnston	2015-01-01T01:00Z												Eleodes nigrinus LeConte, 1858								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		nigrinus		SPECIES							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z							IDENTIFIED_DATE_UNLIKELY		true	false	8127965	1	54	216	1470	7857	4724278		8127965	Eleodes nigrinus	Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648318																										25846554										CC0_1_0			2017-02-02T21:01Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25846554				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				d7483f35-b732-4d06-88b4-9463320c0c61	MAJC-TC00626		M. Andrew Johnston					ADULT						B1-C9																	2016-06-07T02:00Z		159		2016	6	7	7.VI.2016															US	Nevada	Mineral		Teel's Marsh, Dunes		1500m						38.211	-118.307									Travis Hitchner			Label																								M. Andrew Johnston	2017-01-01T01:00Z												Eleodes Eschscholtz, 1829								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes				GENUS							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z	1500.0						TAXON_MATCH_HIGHERRANK;IDENTIFIED_DATE_UNLIKELY		true	false	4724278	1	54	216	1470	7857	4724278				Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648317																										25835402										CC0_1_0			2017-01-20T19:28Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25835402				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				08817afe-531c-4fac-aa07-2f5a69f57321	MAJCTC00506		M. Andrew Johnston; F. W. Skillman					ADULT						S1-A7																	2016-06-24T02:00Z		176		2016	6	24	24.VI.2016															US	Utah	Uintah		Bull Shit Ridge Road		2370m						40.7	-109.323									Travis Hitchner			Label																								M. Andrew Johnston	2017-01-01T01:00Z												Eleodes extricatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		extricatus		SPECIES							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z	2370.0						IDENTIFIED_DATE_UNLIKELY		true	false	7690407	1	54	216	1470	7857	4724278		7690407	Eleodes extricatus	Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648316																										23781133										CC0_1_0			2016-11-29T13:15Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=23781133				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				df377684-097e-46f1-88a3-bdb478d7817e	MAJC0003078	539	Derham Giuliani					ADULT																							2000-05-31T02:00Z		152		2000	5	31	31 May 2000															US	California	Modoc		9 km NE of Cedarville, Sand dunes		1500m						41.543267	-120.066315									Collin McMartin			Google Earth																								M. Andrew Johnston	2015-01-01T01:00Z												Eleodes nigrinus LeConte, 1858								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		nigrinus		SPECIES							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z	1500.0						IDENTIFIED_DATE_UNLIKELY		true	false	8127965	1	54	216	1470	7857	4724278		8127965	Eleodes nigrinus	Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648315																										25838617										CC0_1_0			2017-01-27T15:24Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25838617				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				d5d701ba-fead-434a-b9f9-d10428a93ae8	MAJCTC00556		M. Andrew Johnston; S. S. Anzaldo					ADULT						S1-F7																	2014-07-05T02:00Z		186		2014	7	5	5-VII-2014		Headlamping													US	California	Imperial		Imperial Sand Dunes		200ft						32.9733	-115.1781									Travis Hitchner			Label																								M. Andrew Johnston	2017-01-01T01:00Z												Edrotes Leconte, 1851								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Edrotes				GENUS							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z	61.0						IDENTIFIED_DATE_UNLIKELY		true	false	4724414	1	54	216	1470	7857	4724414				Edrotes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648314																										25839229										CC0_1_0			2017-01-27T15:29Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25839229				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				c1f14c25-b610-4046-ab81-98d43bec4aaf	MAJCTC00578		M. Andrew Johnston					ADULT						S1-H10																	2016-02-23T01:00Z		54		2016	2	23	23.II.2016															US	Arizona	Yavapai		AZ71 8 Kilometers Southwest of US93								34.0819	-113.0188									Travis Hitchner			Label																								M. Andrew Johnston													Triorophus Leconte, 1851								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Triorophus				GENUS							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z									true	false	4722549	1	54	216	1470	7857	4722549				Triorophus		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
1450648313																										23779014										CC0_1_0			2016-11-21T14:42Z			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=23779014				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PRESERVED_SPECIMEN				89bbd927-8640-431d-bb57-63a72c9f766f	MAJC0002938	400	Derham Giuliani																												1997-03-14T01:00Z		73		1997	3	14	14 March 1997															US	California	Inyo		2 km W Big Pine		1350m						37.162	-118.312									Andrew Johnston			Google Earth																								M. Andrew Johnston	2015-01-01T01:00Z												Eleodes Eschscholtz, 1829								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes				GENUS							59728459-7b42-4942-8e38-00eb56f2331e	US	2017-09-25T04:44Z	1350.0						TAXON_MATCH_HIGHERRANK;IDENTIFIED_DATE_UNLIKELY		true	false	4724278	1	54	216	1470	7857	4724278				Eleodes		DWC_ARCHIVE	2017-09-25T04:44Z	2017-09-25T04:44Z	true
