gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1450648322																										25846556													2017-02-02 20:11:39			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25846556				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				3909056d-3928-4c91-9ca7-21c3f1621457	MAJCTC00628		M. Andrew Johnston					Adult						B1-D1																		2016-06-06		158		2016	6	6	6.VI.2016															USA		Nevada	Churchill		Sand Mountain Dunes												39.2903	-118.4153	WGS84												Travis Hitchner			Label																								M. Andrew Johnston	2017												Eleodes armatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		armatus				LeConte, 1851					
1450648321																										25846555													2017-02-02 20:08:03			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25846555				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				6c32e37e-d06e-4118-86ae-dfb7e0968b1d	MAJCTC00627		M. Andrew Johnston					Adult						B1-C10																		2016-06-07		159		2016	6	7	7.VI.2016															USA		Nevada	Mineral		Teel's Marsh, Dunes		1500		1500m								38.211	-118.307	WGS84				38.211 -118.307								Travis Hitchner			Label																								M. Andrew Johnston	2017												Eleodes armatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		armatus				LeConte, 1851					
1450648320																										25835416													2017-01-20 18:28:28			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25835416				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				4121c499-4aac-4c87-8277-22491a8a521f	MAJCTC00507		M. Andrew Johnston; F. W. Skillman					Adult						S1-A8																		2016-06-26		178		2016	6	26	26.VI.2016															USA		New Mexico	Rio Arriba		United States Route 285, 5 Miles South of the State Line												36.937	-105.99	WGS84												Travis Hitchner			Label																								M. Andrew Johnston	2017												Eleodes extricatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		extricatus				Say, 1824					
1450648319																										23781134													2016-11-29 12:19:02			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=23781134				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				e5e9d2ed-6f56-42e8-984a-7d43a3893b59	MAJC0003079		M.C. Lane					Adult																								1934-06-06		157		1934	6	6	June 6 1934															USA		Idaho	Twin Falls		Kimberly												42.533802	-114.364756	WGS84	1399											Collin McMartin			GeoLocate																								M. Andrew Johnston	2015												Eleodes nigrinus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		nigrinus				LeConte, 1858					
1450648318																										25846554													2017-02-02 20:01:24			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25846554				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				d7483f35-b732-4d06-88b4-9463320c0c61	MAJC-TC00626		M. Andrew Johnston					Adult						B1-C9																		2016-06-07		159		2016	6	7	7.VI.2016															USA		Nevada	Mineral		Teel's Marsh, Dunes		1500		1500m								38.211	-118.307	WGS84				38.211 -118.307								Travis Hitchner			Label																								M. Andrew Johnston	2017												Eleodes armatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		armatus				LeConte, 1851					
1450648317																										25835402													2017-01-20 18:28:22			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25835402				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				08817afe-531c-4fac-aa07-2f5a69f57321	MAJCTC00506		M. Andrew Johnston; F. W. Skillman					Adult						S1-A7																		2016-06-24		176		2016	6	24	24.VI.2016															USA		Utah	Uintah		Bull Shit Ridge Road		2370		2370m								40.7	-109.323	WGS84												Travis Hitchner			Label																								M. Andrew Johnston	2017												Eleodes extricatus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		extricatus				Say, 1824					
1450648316																										23781133													2016-11-29 12:15:01			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=23781133				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				df377684-097e-46f1-88a3-bdb478d7817e	MAJC0003078	539	Derham Giuliani					Adult																								2000-05-31		152		2000	5	31	31 May 2000															USA		California	Modoc		9 km NE of Cedarville, Sand dunes		1500		1500m								41.543267	-120.066315	WGS84												Collin McMartin			Google Earth																								M. Andrew Johnston	2015												Eleodes nigrinus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		nigrinus				LeConte, 1858					
1450648315																										25838617													2017-01-27 14:24:25			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25838617				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				d5d701ba-fead-434a-b9f9-d10428a93ae8	MAJCTC00556		M. Andrew Johnston; S. S. Anzaldo					Adult						S1-F7																		2014-07-05		186		2014	7	5	5-VII-2014		Headlamping													USA		California	Imperial		Imperial Sand Dunes		61		200ft								32.9733	-115.1781	WGS84				32.9733, -115.1781								Travis Hitchner			Label																								M. Andrew Johnston	2017												Edrotes								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Edrotes											
1450648314																										25839229													2017-01-27 14:29:29			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=25839229				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				c1f14c25-b610-4046-ab81-98d43bec4aaf	MAJCTC00578		M. Andrew Johnston					Adult						S1-H10																		2016-02-23		54		2016	2	23	23.II.2016															USA		Arizona	Yavapai		AZ71 8 Kilometers Southwest of US93												34.0819	-113.0188	WGS84												Travis Hitchner			Label																								M. Andrew Johnston													Triorophus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Triorophus											
1450648313																										23779014													2016-11-21 13:42:21			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=23779014				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				89bbd927-8640-431d-bb57-63a72c9f766f	MAJC0002938	400	Derham Giuliani																													1997-03-14		73		1997	3	14	14 March 1997															USA		California	Inyo		2 km W Big Pine		1350		1350m								37.162	-118.312	WGS84												Andrew Johnston			Google Earth																								M. Andrew Johnston	2015												Eleodes hirsutus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		hirsutus				LeConte, 1861					
